target,run_id,n_features,features
us_10y_xl,L12W_F2W_R63d_T0bp_S0.0,80,"z60_sp_corp_aa_3y,kr_growth_ip_total_mom,lvl_us_ig_oas_xl,z252_cd_91d,z252_cd_base_spread,d20_sp_corp_aa_3y,z60_us_ig_oas_xl,d20_usdkrw_range,z60_us_spr_2_10,z60_cd_91d,lvl_wti,z60_slope_10y3y,vol20_ktb_5y,d20_us_spr_10_30,d20_yh_gold,z252_slope_30y10y,lvl_us_2y,lvl_us_5y,z60_sp500,z60_eurkrw,kr_growth_cli_lead_mom,z60_us_5y,z60_yh_gold,z60_sp_kepco_5y,vol20_ktb_10y ..."
us_ig_oas_xl,L12W_F2W_R63d_T0bp_S0.0,80,"z60_dxy_broad,fgn_kospi_cum20,vol20_kospi,lvl_us_ig_oas_xl,d20_wti,lvl_vixcls,d20_ktb_1y,z60_sp_corp_aa_3y,z60_sp_indfin_1y,d20_us_ig_oas_xl,d20_sp_corp_bbb_3y,z252_cd_base_spread,z60_sp_corp_bbb_3y,d60_ktb3y_base_spread,sp_corp_bbb_3y,kr_growth_ip_total_mom,z60_ktb_10y,ret1_sp500,d5_us_bei_5y5y,d20_us_bei_5y5y,z252_bfly_3_5_10,lvl_wti,z60_yh_dxy,d5_us_real_10y,z60_brent ..."
us_spr_10_30,L12W_F2W_R63d_T0bp_S0.0,80,"z252_bfly_3_5_10,d20_brent,d20_us_spr_5_30,vol20_ktb_5y,z60_sp_kepco_5y,fgn_kospi_z60,ret20_usdkrw,kr_growth_ip_total_mom,z252_us_spr_5_30,d20_sp_corp_bbb_3y,d5_bfly_3_5_10,vol20_ktb_3y,d20_yh_gold,z60_us_ffr,lvl_vixcls,d5_wti,z60_usdkrw,z60_eurkrw,vol20_ktb_10y,z60_jpykrw,d60_bfly_3_5_10,z60_cd_base_spread,z60_tedrate,z60_sp500,d20_sp_indfin_1y ..."
us_spr_2_10,L12W_F2W_R63d_T0bp_S0.0,80,"d20_brent,d20_slope_10y3y,z60_sp_corp_aa_3y,z252_cd_91d,lvl_brent,z60_us_5y,d60_ktb_30y,z60_us_spr_10_30,z60_yh_dxy,d60_ktb_20y,d20_sp_corp_aa_3y,lvl_us_ig_oas_xl,z60_us_ffr,z60_sp_indfin_1y,d60_ktb_10y,d20_us_2y,lvl_tedrate,ret20_jpykrw,z60_eurkrw,z60_brent,z252_us_spr_10_30,vol20_ktb_3y,sp_corp_aa_3y,z60_us_30y,d20_vixcls ..."
us_spr_5_30,L12W_F2W_R63d_T0bp_S0.0,80,"d20_sp_indfin_1y,z60_us_ig_oas_xl,z60_sp_corp_bbb_3y,ret20_usdkrw,d20_brent,fgn_kospi_cum20,z60_yh_gold,z60_dxy_broad,d5_yh_dxy,ret20_kospi,z60_sp_indfin_1y,z60_eurkrw,z60_sp_kepco_5y,z60_us_bei_5y5y,vol20_kospi,vol20_ktb_10y,z60_cd_base_spread,z60_usdkrw,kr_growth_ip_total_mom,d5_bfly_3_5_10,d60_bfly_3_5_10,z252_us_spr_10_30,d20_slope_10y3y,lvl_usdkrw,d20_usdkrw_range ..."
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,80,"vol20_ktb_10y,vol20_ktb_5y,z252_us_spr_10_30,z252_ktb_3y,d20_us_spr_5_30,z60_sp_corp_bbb_3y,z60_us_ffr,z60_yh_dxy,kr_price_ppi_total_yoy,z60_ktb_30y,ret20_usdkrw,z60_ktb_5y,cd_base_spread,d20_dxy_broad,d20_yh_dxy,z60_sp500,z252_ktb_5y,z252_ktb_10y,d20_slope_10y3y,vol20_ktb_3y,d20_us_bei_10y,z60_yh_gold,us_indpro_yoy,d5_ktb_10y,ret20_eurkrw ..."
ktb_30y,L12W_F2W_R63d_T10bp_S0.0,80,"d20_us_spr_5_30,z60_vol_kospi,d20_dxy_broad,vol20_ktb_10y,vol20_ktb_5y,z252_cd_base_spread,d20_slope_30y5y,d20_us_spr_10_30,lvl_us_10y,d20_wti,z60_ktb_20y,z60_yh_dxy,d60_slope_10y3y,slope_30y5y,d20_brent,lvl_us_spr_10_30,d5_yh_dxy,z252_cd_91d,fgn_kospi,slope_10y3y,kr_price_cpi_total_yoy,z60_sp_corp_bbb_3y,kr_sent_csi_total_lvl,us_unrate_yoy,d5_us_spr_10_30 ..."
ktb_3y,L12W_F2W_R63d_T10bp_S0.0,80,"d60_ktb_1y,z60_ktb_10y,z60_usdkrw,vol20_ktb_10y,lvl_usdkrw,lvl_wti,d20_brent,ret20_usdkrw,vol20_ktb_5y,d20_wti,z60_brent,kr_price_imp_price_mom,ret20_kospi,kr_growth_ip_total_yoy,kr_sent_csi_total_mom,z60_slope_10y3y,d20_usdkrw_range,z60_kospi,fgn_kospi,d5_bfly_3_5_10,d5_us_10y2y,z252_ktb_1y,z60_ktb_20y,z60_sp_corp_bbb_3y,z60_dxy_broad ..."
ktb_5y,L12W_F2W_R63d_T10bp_S0.0,80,"vol20_ktb_3y,z252_us_spr_10_30,d60_ktb_3y,ret20_eurkrw,z252_slope_10y3y,z60_ktb_5y,kr_price_ppi_total_yoy,d20_ktb_5y,z60_us_ffr,ret20_kospi,d20_dxy_broad,d60_ktb_1y,z60_usdkrw,z60_ktb_3y,d60_ktb_5y,d20_us_30y,lvl_us_ig_oas_xl,ret1_usdkrw,us_cpi_yoy,z60_ktb_1y,z252_us_spr_5_30,z60_eurkrw,z60_kospi,d20_bfly_3_5_10,vol20_ktb_5y ..."
spread_ktb_3_10,L12W_F2W_R63d_T10bp_S0.0,285,"lvl_ktb_1y,lvl_ktb_3y,lvl_ktb_5y,lvl_ktb_10y,lvl_ktb_20y,lvl_ktb_30y,lvl_cd_91d,slope_10y2y,slope_30y10y,slope_30y5y,slope_10y3y,bfly_3_5_10,ktb3y_base_spread,cd_base_spread,d5_ktb_1y,d20_ktb_1y,d60_ktb_1y,z20_ktb_1y,z60_ktb_1y,z252_ktb_1y,d5_ktb_3y,d20_ktb_3y,d60_ktb_3y,z20_ktb_3y,z60_ktb_3y ..."
