run_id,target,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,lookback_days,forward_days,period,n_persist
L12W_F4W_R63d_T10bp_S0.0,spread_ktb_5_30,12,4,63,10.0,0.0,60,20,quarter,577
L12W_F4W_R63d_T10bp_S0.0,us_10y_xl,12,4,63,10.0,0.0,60,20,quarter,2493
L12W_F4W_R63d_T10bp_S0.0,us_ig_oas_xl,12,4,63,10.0,0.0,60,20,quarter,1155
L12W_F4W_R63d_T10bp_S0.0,us_spr_10_30,12,4,63,10.0,0.0,60,20,quarter,606
L12W_F4W_R63d_T10bp_S0.0,us_spr_2_10,12,4,63,10.0,0.0,60,20,quarter,1761
L12W_F4W_R63d_T10bp_S0.0,us_spr_5_30,12,4,63,10.0,0.0,60,20,quarter,1679
L20W_F2W_R63d_T0bp_S0.0,ktb_10y,20,2,63,0.0,0.0,100,10,quarter,3867
L20W_F2W_R63d_T0bp_S0.0,ktb_30y,20,2,63,0.0,0.0,100,10,quarter,3267
L20W_F2W_R63d_T0bp_S0.0,ktb_3y,20,2,63,0.0,0.0,100,10,quarter,3867
L20W_F2W_R63d_T0bp_S0.0,ktb_5y,20,2,63,0.0,0.0,100,10,quarter,3867
L20W_F2W_R63d_T0bp_S0.0,spread_aa_3y,20,2,63,0.0,0.0,100,10,quarter,3867
L20W_F2W_R63d_T0bp_S0.0,spread_bbb_3y,20,2,63,0.0,0.0,100,10,quarter,3867
L20W_F2W_R63d_T0bp_S0.0,spread_kepco_5y,20,2,63,0.0,0.0,100,10,quarter,3867
L20W_F2W_R63d_T0bp_S0.0,spread_ktb_10_30,20,2,63,0.0,0.0,100,10,quarter,3267
L20W_F2W_R63d_T0bp_S0.0,spread_ktb_3_10,20,2,63,0.0,0.0,100,10,quarter,3867
L20W_F2W_R63d_T0bp_S0.0,spread_ktb_5_30,20,2,63,0.0,0.0,100,10,quarter,3267
L20W_F2W_R63d_T0bp_S0.0,us_10y_xl,20,2,63,0.0,0.0,100,10,quarter,4087
L20W_F2W_R63d_T0bp_S0.0,us_ig_oas_xl,20,2,63,0.0,0.0,100,10,quarter,4087
