target,run_id,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,direction,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite,hpo_best_auc,wf_time_s,ensemble_mode
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,12,2,63,0.0,0.0,persist,ensemble,2057,0.8765192027224112,0.8692270296548371,0.8862034239677744,0.9761508596783139,0.9290050145157034,0.7082290670404967,0.8825079030558483,0.9227029654837141,0.9084158415841584,0.7856101118133204,1.284934797372452,,,weighted
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,12,2,63,0.0,0.0,persist,et,2057,0.8765192027224112,0.8682547399124939,0.8822355289421158,0.9805879090404881,0.9288153401628579,0.6893082832200053,0.9036860879904876,0.8176956733106465,0.9271417133706965,0.6071949440933399,1.1986658867661444,0.7168709920016878,53.61605525016785,
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,12,2,63,0.0,0.0,persist,gbm,2057,0.8765192027224112,0.8716577540106952,0.8826454500248633,0.9844703272323905,0.9307813319349764,0.6627776977129106,0.8804020100502512,0.9674282936315022,0.8841111693759832,0.9270782693242586,1.2272825719924534,0.6505944366513848,835.2744405269623,
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,12,2,63,0.0,0.0,persist,lgbm,2057,0.8765192027224112,0.8740884783665532,0.8887210473313192,0.9789240155296728,0.9316442333069411,0.6945314240046118,0.8836032388663968,0.9606222654350997,0.8916309012875536,0.9061740398638795,1.2840559093288957,0.6299163798997336,81.71652245521545,
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,12,2,63,0.0,0.0,persist,logreg,2057,0.8765192027224112,0.6436558094312105,0.9090214067278287,0.6594564614531336,0.7643844423015108,0.6115387302876658,0.6514994829369183,0.9402041808458921,0.6633109619686801,0.8692270296548371,0.9861322160253706,0.5850418188144038,7.825004577636719,
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,12,2,63,0.0,0.0,persist,rf,2057,0.8765192027224112,0.8701993193971803,0.8794466403162056,0.9872434830837493,0.9302325581395349,0.7023377485468226,0.8974780701754386,0.8867282450170151,0.9145244215938303,0.7564414195430238,1.2612715814934188,0.6813051369999614,31.73464298248291,
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,12,2,63,0.0,0.0,persist,xgb,2057,0.8765192027224112,0.7608167233835683,0.8936936936936937,0.8252911813643927,0.8581314878892734,0.6641992130351427,0.8053197509903792,0.8590179873602334,0.8521269412559082,0.7199805542051532,1.1236817021693226,0.5705356022978125,42.9898579120636,
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,12,2,63,10.0,0.0,persist,ensemble,715,0.8461538461538461,0.8055944055944056,0.8467261904761905,0.9404958677685951,0.8911511354737667,0.5182268970698722,0.8274706867671692,0.8349650349650349,0.837160751565762,0.66993006993007,0.8762745714090567,,,weighted
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,12,2,63,10.0,0.0,persist,et,715,0.8461538461538461,0.7846153846153846,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.49857250187828694,0.8295454545454546,0.7384615384615385,0.8539682539682539,0.4405594405594406,0.8039917407911397,0.8291777520443846,48.91972732543945,
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,12,2,63,10.0,0.0,persist,gbm,715,0.8461538461538461,0.7552447552447552,0.8524590163934426,0.859504132231405,0.8559670781893004,0.6050939143501126,0.7892156862745098,0.855944055944056,0.8254901960784313,0.7132867132867133,1.0138496634845244,0.7296907163667511,85.7061460018158,
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,12,2,63,10.0,0.0,persist,lgbm,715,0.8461538461538461,0.7902097902097902,0.8431372549019608,0.9239669421487603,0.8817034700315457,0.5601803155522164,0.8053491827637445,0.9412587412587412,0.8253968253968254,0.8811188811188811,0.9848204988099805,0.7447935105702097,14.512406349182129,
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,12,2,63,10.0,0.0,persist,logreg,715,0.8461538461538461,0.627972027972028,0.8278529980657641,0.7074380165289256,0.7629233511586453,0.41132982719759575,0.6289398280802292,0.9762237762237762,0.6351550960118169,0.9468531468531468,0.6638805882322034,0.7701404927644069,2.304046154022217,
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,12,2,63,10.0,0.0,persist,rf,715,0.8461538461538461,0.820979020979021,0.8451519536903039,0.9652892561983472,0.9012345679012346,0.5667618332081142,0.8524046434494196,0.8433566433566434,0.8535031847133758,0.6587412587412588,0.9741962140038775,0.7596874079883789,55.63498067855835,
ktb_10y,L12W_F2W_R63d_T10bp_S0.0,12,2,63,10.0,0.0,persist,xgb,715,0.8461538461538461,0.7846153846153846,0.8442748091603054,0.9140495867768595,0.8777777777777778,0.5647182569496619,0.8093023255813954,0.9020979020979021,0.8420138888888888,0.8055944055944056,0.9770020753101144,0.7177389434670988,59.611345529556274,
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,12,4,63,0.0,0.0,persist,ensemble,2047,0.78114313629702,0.7508549096238397,0.81601857225769,0.8792995622263915,0.8464780252859723,0.6783955373894399,0.7798060467769538,0.8563751831949193,0.8265162200282088,0.6927210552027357,1.131432518147312,,,weighted
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,12,4,63,0.0,0.0,persist,et,2047,0.78114313629702,0.7293600390815828,0.8115682766845558,0.8511569731081926,0.8308913308913309,0.6982670530688824,0.8073453608247423,0.7581827063996092,0.8712871287128713,0.5427454811919883,1.1256869932229172,0.6831685816862507,53.62012338638306,
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,12,4,63,0.0,0.0,persist,gbm,2047,0.78114313629702,0.7489008304836345,0.8116025272831706,0.8836772983114447,0.8461077844311378,0.6712119181631377,0.7659459459459459,0.903761602344895,0.7857988165680473,0.8255984367366879,1.135846646075774,0.6854823237464742,406.90621757507324,
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,12,4,63,0.0,0.0,persist,lgbm,2047,0.78114313629702,0.7581827063996092,0.8026315789473685,0.9155722326454033,0.8553900087642419,0.691848420888055,0.7689530685920578,0.9472398632144602,0.7884508606329816,0.8798241328773815,1.1957790489017774,0.6246987734028671,139.84907746315002,
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,12,4,63,0.0,0.0,persist,logreg,2047,0.78114313629702,0.613580850024426,0.8247588424437299,0.6416510318949343,0.7217727752374252,0.6019010207272402,0.6348345089527944,0.9003419638495359,0.6518243661100804,0.7899364924279433,0.9459284727305968,0.6615863039048738,3.5547568798065186,
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,12,4,63,0.0,0.0,persist,rf,2047,0.78114313629702,0.7640449438202247,0.7980769230769231,0.9343339587242027,0.8608470181503889,0.6888554788707227,0.8058368076235854,0.8202247191011236,0.8483920367534457,0.6380068392769908,1.144166403595729,0.6441669282409763,30.00328254699707,
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,12,4,63,0.0,0.0,persist,xgb,2047,0.78114313629702,0.7489008304836345,0.8098229583095374,0.8868042526579112,0.8465671641791045,0.7037643504869115,0.7744,0.9159745969711773,0.802491103202847,0.8236443575964827,1.2029660294839783,0.6106993597277879,104.61496138572693,
ktb_10y,L12W_F4W_R63d_T10bp_S0.0,12,4,63,10.0,0.0,persist,ensemble,1131,0.7595048629531388,0.7506631299734748,0.7934893184130214,0.9080325960419092,0.8469055374592834,0.6404163528042183,0.7678207739307535,0.8682581786030061,0.7929292929292929,0.7002652519893899,1.0673605880070303,,,weighted
ktb_10y,L12W_F4W_R63d_T10bp_S0.0,12,4,63,10.0,0.0,persist,et,1131,0.7595048629531388,0.7453580901856764,0.7807276302851525,0.9243306169965075,0.8464818763326226,0.6702047524481272,0.801605504587156,0.770999115826702,0.852233676975945,0.5145888594164456,1.0844161777012138,0.6987598230799608,27.524554014205933,
ktb_10y,L12W_F4W_R63d_T10bp_S0.0,12,4,63,10.0,0.0,persist,gbm,1131,0.7595048629531388,0.7223695844385499,0.7933261571582346,0.8579743888242142,0.8243847874720358,0.6592181401081969,0.757884028484232,0.8691423519009726,0.7850467289719626,0.7568523430592397,1.0934511324871594,0.6680444333348808,342.43081617355347,
ktb_10y,L12W_F4W_R63d_T10bp_S0.0,12,4,63,10.0,0.0,persist,lgbm,1131,0.7595048629531388,0.7418213969938108,0.7804154302670623,0.9185098952270081,0.8438502673796792,0.6686297336163802,0.7513711151736746,0.9672855879752431,0.7657920310981535,0.9098143236074271,1.1545834392155532,0.6024099186814333,58.46404194831848,
ktb_10y,L12W_F4W_R63d_T10bp_S0.0,12,4,63,10.0,0.0,persist,logreg,1131,0.7595048629531388,0.601237842617153,0.7833333333333333,0.6565774155995343,0.714376187460418,0.549095220160241,0.605724838411819,0.9575596816976127,0.609375,0.905393457117595,0.8675801577598149,0.6403847851803962,2.6659774780273438,
ktb_10y,L12W_F4W_R63d_T10bp_S0.0,12,4,63,10.0,0.0,persist,rf,1131,0.7595048629531388,0.757736516357206,0.7853658536585366,0.9371362048894063,0.8545647558386412,0.6666609600766966,0.7982456140350878,0.8063660477453581,0.8451127819548873,0.5879752431476569,1.0957760608157199,0.6502539629045654,51.640024185180664,
ktb_10y,L12W_F4W_R63d_T10bp_S0.0,12,4,63,10.0,0.0,persist,xgb,1131,0.7595048629531388,0.7453580901856764,0.7835153922542205,0.9185098952270081,0.8456591639871383,0.6555930288296925,0.7545023696682465,0.9328028293545535,0.7681912681912682,0.8505747126436781,1.117000677767301,0.6018165877438684,90.07955479621887,
ktb_10y,L20W_F2W_R63d_T0bp_S0.0,20,2,63,0.0,0.0,persist,ensemble,2057,0.9426349052017501,0.935342732134176,0.943952802359882,0.9902011346054668,0.9665240372514473,0.6252611428221782,0.9451097804391217,0.9742343218279047,0.9483471074380165,0.9411764705882353,1.2009755835150344,,,weighted
ktb_10y,L20W_F2W_R63d_T0bp_S0.0,20,2,63,0.0,0.0,persist,et,2057,0.9426349052017501,0.9426349052017501,0.9426349052017501,1.0,0.9704704704704705,0.6268170732773315,0.9422418012726382,0.9931939718035975,0.9456521739130435,0.9392318911035489,1.2134105910502353,0.8190976220813893,66.46698141098022,
ktb_10y,L20W_F2W_R63d_T0bp_S0.0,20,2,63,0.0,0.0,persist,gbm,2057,0.9426349052017501,0.9212445308701993,0.9471565173628586,0.9706034038164002,0.9587366276107998,0.6779355075567521,0.9347496206373292,0.9611084103062713,0.9388714733542319,0.93048128342246,1.2869898672868825,0.8342508321198252,732.7434878349304,
ktb_10y,L20W_F2W_R63d_T0bp_S0.0,20,2,63,0.0,0.0,persist,lgbm,2057,0.9426349052017501,0.9397180359747205,0.9463846532218396,0.9922640536358948,0.9687814702920443,0.6417076773804424,0.9438976377952756,0.9878463782207098,0.9460269865067467,0.9727758872143899,1.2400525121960422,0.8150587581437124,46.099706411361694,
ktb_10y,L20W_F2W_R63d_T0bp_S0.0,20,2,63,0.0,0.0,persist,logreg,2057,0.9426349052017501,0.7997083130772971,0.9380378657487092,0.8432181536874678,0.8881042911461162,0.49334796024510275,0.8042935596605092,0.9737481769567331,0.8087179487179487,0.9479824987846378,0.8797279135532508,0.6374169170043026,6.144704103469849,
ktb_10y,L20W_F2W_R63d_T0bp_S0.0,20,2,63,0.0,0.0,persist,rf,2057,0.9426349052017501,0.9411764705882353,0.9434146341463414,0.997421351211965,0.9696665831035347,0.6764757301072543,0.9439719859929965,0.9718035974720467,0.9458749343142406,0.9251336898395722,1.2970443750816776,0.8128772013408025,47.121639251708984,
ktb_10y,L20W_F2W_R63d_T0bp_S0.0,20,2,63,0.0,0.0,persist,xgb,2057,0.9426349052017501,0.9188138065143413,0.9502032520325203,0.964414646725116,0.9572562068082928,0.6501778830604628,0.928498985801217,0.9586776859504132,0.9348171701112877,0.9173553719008265,1.2289215407579384,0.7234997851595393,52.44727683067322,
ktb_10y,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,ensemble,715,0.9216783216783216,0.9062937062937063,0.9240687679083095,0.9787556904400607,0.9506263817243921,0.7881801430739215,0.9278195488721804,0.9300699300699301,0.9495798319327731,0.8321678321678322,1.4683300008034454,,,weighted
ktb_10y,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,et,715,0.9216783216783216,0.9230769230769231,0.9253521126760563,0.9969650986342944,0.9598246895544192,0.7421146759158899,0.9241486068111455,0.9034965034965035,0.9610136452241715,0.7174825174825175,1.3617544822400662,0.6622755997755998,23.807908058166504,
ktb_10y,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,gbm,715,0.9216783216783216,0.9076923076923077,0.9253945480631277,0.9787556904400607,0.9513274336283186,0.7893995230869283,0.9166666666666666,0.9734265734265735,0.9222873900293255,0.9538461538461539,1.493786789841418,0.5200860200860201,157.8884036540985,
ktb_10y,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,lgbm,715,0.9216783216783216,0.8923076923076924,0.9279411764705883,0.9575113808801214,0.9424943988050785,0.8000487752005203,0.903179190751445,0.9678321678321679,0.9160419790104948,0.9328671328671329,1.4993921101660102,0.5837238337238337,25.17496085166931,
ktb_10y,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,logreg,715,0.9216783216783216,0.8097902097902098,0.9252032520325203,0.8634294385432474,0.8932496075353218,0.5620799913288532,0.8110014104372355,0.9916083916083916,0.8177905308464849,0.9748251748251748,1.014102361977931,0.4818107943107943,2.575120210647583,
ktb_10y,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,rf,715,0.9216783216783216,0.9118881118881119,0.9209039548022598,0.9893778452200304,0.9539136795903438,0.8113483633210492,0.9393939393939394,0.9230769230769231,0.9547826086956521,0.8041958041958042,1.5148951958511898,0.6203084953084953,18.557368755340576,
ktb_10y,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,xgb,715,0.9216783216783216,0.8531468531468531,0.9410828025477707,0.8968133535660091,0.9184149184149184,0.7333893344894862,0.8971061093247589,0.8699300699300699,0.9372623574144486,0.7356643356643356,1.3057407311959663,0.5433073870573871,11.50151801109314,
ktb_10y,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,ensemble,2047,0.8954567659990229,0.8915486077186126,0.9037593984962407,0.983633387888707,0.9420062695924765,0.7324109906134165,0.8990963855421686,0.9731314118221788,0.9095213045765387,0.9286761113825109,1.373225882742693,,,weighted
ktb_10y,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,et,2047,0.8954567659990229,0.877381533952125,0.8966900702106319,0.9754500818330606,0.9344133786255553,0.729736757575294,0.9068023567220139,0.912066438690767,0.9155884165126309,0.7928676111382511,1.3332757563906201,0.7844356799047418,29.87275981903076,
ktb_10y,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,gbm,2047,0.8954567659990229,0.8871519296531509,0.9037298387096774,0.9781778505182761,0.9394812680115274,0.7114709046504633,0.8923611111111112,0.9848558866634098,0.9005076142131979,0.9623839765510503,1.336745041175223,0.7796060649619732,1198.5640020370483,
ktb_10y,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,lgbm,2047,0.8954567659990229,0.8881289692232536,0.9026104417670683,0.9809056192034915,0.9401307189542484,0.6941482988410808,0.8914116485686081,0.9897410845139228,0.8943170488534397,0.979970688812897,1.306572249845962,0.7703066543169517,43.68135213851929,
ktb_10y,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,logreg,2047,0.8954567659990229,0.6433805569125549,0.8733920108327691,0.7037643207855974,0.7794561933534743,0.41703504290499727,0.6470886075949367,0.9648265754763068,0.6500530222693531,0.9213483146067416,0.6774018161500323,0.5363220399228876,5.370272397994995,
ktb_10y,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,rf,2047,0.8954567659990229,0.8900830483634588,0.9056508577194753,0.9792689579923622,0.9410222804718218,0.7481963585562711,0.9082666666666667,0.9159745969711773,0.9332096474953617,0.7899364924279433,1.3706577159677658,0.7962364717297407,29.86244821548462,
